Preloading full sessions...
22368 name-days in memory.

########## EXIT = box_end  (19827 trades) ##########
exit mix: {'time': 87.4, 'stop': 12.6}
MFE median 0.37R  MAE median 0.40R

--- BOTH ---
 thr  cost     n  win%  avg_bps  avg_R   PF
0.00   0.0 19827  49.6      2.5  0.007 1.07
0.00   5.0 19827  47.0     -2.5 -0.035 0.93
0.00  10.0 19827  44.1     -7.5 -0.077 0.81
0.25   0.0 18352  49.9      2.8  0.007 1.08
0.25   5.0 18352  47.2     -2.2 -0.032 0.94
0.25  10.0 18352  44.3     -7.2 -0.072 0.81
0.50   0.0  7175  51.2      4.8  0.018 1.14
0.50   5.0  7175  48.6     -0.2 -0.010 0.99
0.50  10.0  7175  45.6     -5.2 -0.038 0.87
0.75   0.0  1928  52.4     11.4  0.037 1.30
0.75   5.0  1928  50.5      6.4  0.017 1.16
0.75  10.0  1928  47.8      1.4 -0.002 1.03

--- LONG ---
 thr  cost     n  win%  avg_bps  avg_R   PF
0.00   0.0 10263  48.3     -0.3 -0.004 0.99
0.00   5.0 10263  45.9     -5.3 -0.046 0.86
0.00  10.0 10263  42.9    -10.3 -0.088 0.75
0.25   0.0  9538  48.6      0.2 -0.002 1.01
0.25   5.0  9538  46.1     -4.8 -0.041 0.87
0.25  10.0  9538  43.1     -9.8 -0.081 0.76
0.50   0.0  3869  48.4      0.7 -0.007 1.02
0.50   5.0  3869  46.1     -4.3 -0.035 0.89
0.50  10.0  3869  42.8     -9.3 -0.063 0.78
0.75   0.0  1075  50.1      8.7  0.022 1.22
0.75   5.0  1075  48.5      3.7  0.002 1.09
0.75  10.0  1075  45.7     -1.3 -0.018 0.97

--- SHORT ---
 thr  cost    n  win%  avg_bps  avg_R   PF
0.00   0.0 9564  51.0      5.5  0.018 1.17
0.00   5.0 9564  48.2      0.5 -0.024 1.01
0.00  10.0 9564  45.5     -4.5 -0.066 0.88
0.25   0.0 8814  51.4      5.5  0.017 1.17
0.25   5.0 8814  48.5      0.5 -0.022 1.02
0.25  10.0 8814  45.7     -4.5 -0.062 0.88
0.50   0.0 3306  54.4      9.5  0.047 1.30
0.50   5.0 3306  51.6      4.5  0.019 1.13
0.50  10.0 3306  49.0     -0.5 -0.008 0.99
0.75   0.0  853  55.3     14.7  0.056 1.42
0.75   5.0  853  53.0      9.7  0.036 1.26
0.75  10.0  853  50.5      4.7  0.017 1.12

########## EXIT = eod  (19827 trades) ##########
exit mix: {'time': 71.2, 'stop': 28.8}
MFE median 0.57R  MAE median 0.62R

--- BOTH ---
 thr  cost     n  win%  avg_bps  avg_R   PF
0.00   0.0 19827  45.9     -2.0 -0.015 0.96
0.00   5.0 19827  44.4     -7.0 -0.057 0.88
0.00  10.0 19827  42.8    -12.0 -0.099 0.80
0.25   0.0 18352  46.6     -1.6 -0.013 0.97
0.25   5.0 18352  45.1     -6.6 -0.052 0.88
0.25  10.0 18352  43.4    -11.6 -0.092 0.81
0.50   0.0  7175  47.8     -2.9 -0.021 0.95
0.50   5.0  7175  46.1     -7.9 -0.049 0.87
0.50  10.0  7175  44.4    -12.9 -0.076 0.80
0.75   0.0  1928  49.2      0.8 -0.006 1.01
0.75   5.0  1928  47.6     -4.2 -0.025 0.94
0.75  10.0  1928  45.7     -9.2 -0.045 0.87

--- LONG ---
 thr  cost     n  win%  avg_bps  avg_R   PF
0.00   0.0 10263  43.5     -6.5 -0.057 0.88
0.00   5.0 10263  42.1    -11.5 -0.099 0.80
0.00  10.0 10263  40.5    -16.5 -0.141 0.73
0.25   0.0  9538  44.1     -5.9 -0.052 0.90
0.25   5.0  9538  42.7    -10.9 -0.092 0.82
0.25  10.0  9538  41.1    -15.9 -0.131 0.74
0.50   0.0  3869  44.1     -8.8 -0.073 0.86
0.50   5.0  3869  42.5    -13.8 -0.101 0.79
0.50  10.0  3869  40.8    -18.8 -0.129 0.72
0.75   0.0  1075  46.5     -2.8 -0.040 0.96
0.75   5.0  1075  45.3     -7.8 -0.060 0.89
0.75  10.0  1075  43.1    -12.8 -0.080 0.83

--- SHORT ---
 thr  cost    n  win%  avg_bps  avg_R   PF
0.00   0.0 9564  48.4      2.9  0.030 1.06
0.00   5.0 9564  46.9     -2.1 -0.013 0.96
0.00  10.0 9564  45.1     -7.1 -0.055 0.88
0.25   0.0 8814  49.3      3.1  0.030 1.06
0.25   5.0 8814  47.7     -1.9 -0.009 0.96
0.25  10.0 8814  45.9     -6.9 -0.048 0.88
0.50   0.0 3306  52.3      3.9  0.040 1.07
0.50   5.0 3306  50.3     -1.1  0.013 0.98
0.50  10.0 3306  48.6     -6.1 -0.014 0.90
0.75   0.0  853  52.6      5.3  0.037 1.08
0.75   5.0  853  50.5      0.3  0.018 1.00
0.75  10.0  853  49.1     -4.7 -0.002 0.93
