=== FUTURES out-of-sample by era (k=0.5, 5bps/side) ===
train = entries before 2013 ; test = 2013 onward
   S   era  trades   hold   win%   gMean%   gPF   nMean%   nPF
   0 train    6308    1.2   18.3   -0.020  0.92   -0.120  0.63
   0  test    6705    1.2   19.3    0.006  1.03   -0.094  0.69

  20 train    2769   17.3   34.9    0.040  1.02   -0.060  0.97
  20  test    3250   16.9   34.3    0.012  1.01   -0.088  0.95

  40 train    1625   30.6   31.8    0.322  1.14    0.222  1.09
  40  test    1993   29.6   32.0    0.080  1.04   -0.020  0.99

  60 train    1190   40.5   29.4    0.573  1.22    0.473  1.18
  60  test    1514   39.1   30.0    0.007  1.00   -0.093  0.96

