=== BASE CASE  k=0.5  (spread-bet costs) ===
tkr       n   L%  win%   mean%    total%      B&H%
AZN     614   47  15.3   -0.23     -76.8     382.0
HSBA    611   49  12.6   -0.25     -79.1     102.9
BP      640   50  14.4   -0.24     -78.6     -11.0
GSK     584   49  14.0   -0.34     -86.4      10.6
DGE     564   48  12.2   -0.35     -86.6     246.3
BATS    572   47  14.7   -0.38     -89.2    1089.2
ULVR    584   46  15.9   -0.26     -78.0     333.3
RIO     670   47  13.1   -0.30     -87.6     501.3
AAL     700   47  13.4   -0.35     -92.0     255.3
BARC    599   45  13.7   -0.26     -80.7      20.5
LLOY    542   49  16.4   -0.39     -89.1     -77.9
LGEN    548   47  16.2   -0.15     -60.0      73.2
PRU     632   44  13.1   -0.39     -92.1      13.5
NG      537   50  10.8   -0.29     -79.0     132.1
SSE     514   47  16.5   -0.30     -79.1     388.9
TSCO    554   47  16.8   -0.34     -85.3      88.8
REL     570   48  13.5   -0.33     -84.9     371.3
IMB     580   49  14.0   -0.30     -82.8     586.9
BA      648   48  15.7   -0.26     -82.2     432.9
RR      596   44  16.3   -0.29     -83.5    1961.1

AGG: trades=11859  pooled win=14.4%  mean ret/trade=-0.299%  profit factor=0.39
     median per-ticker total=-83.1%  % tickers profitable=0%  median B&H=250.8%

=== k-SWEEP (aggregate) ===
    k  trades   win%  mean/tr%   medTot%  %prof    PF
 0.25   13123   13.5    -0.290     -86.0      0  0.39
  0.5   11859   14.4    -0.299     -83.1      0  0.39
 0.75    7769   15.0    -0.325     -70.5      0  0.38
  1.0    4434   16.0    -0.304     -46.6      0  0.44
  1.5    1341   16.3    -0.353     -21.7      0  0.45
