=== OPTION B: min-span sweep (k=0.5).  Pre-registered point: S=20 ===
   S  cost  trades   win%    mean%    PF  hold_d   medTot%  %prof
   5 gross   12047   32.9   -0.237  0.80     4.6     -85.2      0
   5   net   12047   29.3   -0.499  0.63     4.6     -96.6      0

  10 gross    9044   32.4   -0.369  0.77     8.7     -82.4      0
  10   net    9044   29.1   -0.689  0.62     8.7     -95.9      0

  20 gross    5839   30.0   -0.620  0.72    15.8     -89.8      5
  20   net    5839   27.3   -1.038  0.57    15.8     -97.1      0

  40 gross    3596   26.6   -0.885  0.68    26.8     -78.4      0
  40   net    3596   24.1   -1.452  0.53    26.8     -92.5      0

  60 gross    2668   23.7   -1.117  0.65    35.0     -83.0      0
  60   net    2668   21.0   -1.796  0.49    35.0     -93.4      0

