Loading 120 FTSE names (monthly)...
120 names, 307 holding months 2001-02-28->2026-08-31.

=== Universe equal-weight (monthly) ===
  CAGR +8.31%  vol 16.2%  Sharpe 0.58  maxDD -54%

=== 12-1 momentum, net of costs (turnover-based) ===
      book  cost    CAGR  Sharpe   maxDD   beta   alpha  turn/yr
 long-only    0b +13.66%    0.87    -46%   0.85  +6.34%     5.8x
long-short    0b  +3.97%    0.30    -65%   0.00   +nan%    11.1x
 long-only   10b +13.01%    0.83    -47%   0.85  +5.75%     5.8x
long-short   10b  +2.82%    0.25    -66%   0.00   +nan%    11.1x
 long-only   20b +12.35%    0.79    -47%   0.85  +5.17%     5.8x
long-short   20b  +1.69%    0.19    -67%   0.00   +nan%    11.1x

=== At 10 bps/side ===

  long-only tilt: full CAGR +13.01% Sharpe 0.83
    OOS: pre-2013 CAGR +13.46% Sh 0.77 | post-2013 +12.61% Sh 0.91
    2023-26: CAGR +16.92%  Sharpe 1.21 (n=44m)
    year-block bootstrap ann mean +13.66% 95% CI [+6.20%, +20.82%]  CI>0

  long-short (neutral): full CAGR +2.82% Sharpe 0.25
    OOS: pre-2013 CAGR +3.32% Sh 0.27 | post-2013 +2.39% Sh 0.23
    2023-26: CAGR +1.87%  Sharpe 0.20 (n=44m)
    year-block bootstrap ann mean +5.14% 95% CI [-5.73%, +14.07%]  CI spans 0

=== Long-short (10bps) rolling 36m annualised return ===
  year  roll36_ann
  2005      -4.80%
  2006     +11.16%
  2007     +18.59%
  2008     +24.79%
  2009     -16.64%
  2010     -15.95%
  2011     -20.59%
  2012      +9.09%
  2013      +8.07%
  2014     +10.15%
  2015     +26.71%
  2016      +8.37%
  2017      +7.37%
  2018      -4.83%
  2019      +4.71%
  2020      -0.56%
  2021      -8.71%
  2022     -11.80%
  2023     -10.72%
  2024      -2.28%
  2025      +3.84%
  2026      +3.57%
